LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
204,Johor,Gunung Arong Tambahan 2,0,Gunung Arong Tambahan 2,Gunung Arong Tambahan 2,0,,Reserve name changed from Gunung Arong Tamb 2 to Gunung Arong Tambahan 2 to match DeptForestry map
205,Johor,Gunung Arong Tambahan A,Gunung Arong Tambahan A,0,0,0,,
206,Johor,Gunung Arong Tambahan B,Gunung Arong Tambahan B,0,0,0,,
207,Kelantan,Gunung Basor Tambahan,0,Gunung Basor Tambahan,Gunung Basor Tambahan,0,,Reserve name changed from Gunong Basur Tambahan to Gunung Basor Tambahan to match DeptForestry map
208,Pahang,Gunung Benom,0,Gunung Benom,Gunung Benom,0,,
209,Pahang,Gunung Benum Tambahan,Gunung Benum Tambahan,0,0,0,,
210,Perak,Gunung Besout,Gunung Besout,Gunung Besout,Gunung Besout,0,,
211,Kedah,Gunung Bongsu,0,Gunung Bongsu,Gunung Bongsu,0,,
212,Perak,Gunung Gajah,Gunung Gajah,0,0,0,,
213,Kedah,Gunung Inas,Gunung Inas,Gunung Inas,Gunung Inas,0,,
214,Kedah,Gunung Jerai,Gunung Jerai,Gunung Jerai,Gunung Jerai,0,,
215,Perak,Gunung Lang,0,Gunung Lang,Gunung Lang,0,,
216,Johor,Gunung Ledang,Gunung Ledang,Gunung Ledang,Gunung Ledang,0,,Reserve name changed from Gunong Ledang to Gunung Ledang to match DeptForestry map
217,Pahang,Gunung Lesong,0,Gunung Lesong,Gunung Lesong,0,,Reserve name changed from Lesong Tambahan Rompin to Gunung Lesong to match DeptForestry map after checking location
218,Kedah,Gunung Machinchang,0,Gunung Machinchang,Gunung Machinchang,0,,
219,Johor,Gunung Pulai,Gunung Pulai,Gunung Pulai,Gunung Pulai,0,,Reserve name changed from Gunong Pulai to Gunung Pulai to match DeptForestry map
220,Kelantan,Gunung Rabong,0,Gunung Rabong,Gunung Rabong,0,,
